year,births
1970,1006645.0
1971,1024773.0
1972,952780.0
1973,965521.0
1974,922823.0
1975,874030.0
1976,796331.0
1977,825339.0
1978,750728.0
1979,862669.0
1980,862835.0
1981,867409.0
1982,848312.0
1983,769155.0
1984,674793.0
1985,655489.0
1986,636019.0
1987,623831.0
1988,633092.0
1989,639431.0
1990,649738.0
1991,709275.0
1992,730678.0
1993,715826.0
1994,721185.0
1995,715020.0
1996,691226.0
1997,675394.0
1998,641594.0
1999,620668.0
2000,640089.0
2001,559934.0
2002,496911.0
2003,495036.0
2004,476958.0
2005,438707.0
2006,451759.0
2007,496822.0
2008,465892.0
2009,444849.0
2010,470171.0
2011,471265.0
2012,484550.0
2013,436455.0
2014,435435.0
2015,438420.0
2016,406243.0
2017,357771.0
2018,326822.0
2019,302676.0
2020,272337.0
2021,260562.0
2022,249186.0
2023,230028.0
2024,238317.0
